species	code	habitat
Scriptaphyosemion cauveti	5.2	Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks
Annona ferruginea	1.6	Forest - Subtropical/Tropical Moist Lowland
Lysimachia daphnoides	1.9	Forest - Subtropical/Tropical Moist Montane
Lysimachia daphnoides	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Charmosyna diadema	1.6	Forest - Subtropical/Tropical Moist Lowland
Charmosyna diadema	1.9	Forest - Subtropical/Tropical Moist Montane
Charmosyna diadema	3.5	Shrubland - Subtropical/Tropical Dry
Banksia vincentia	1.4	Forest - Temperate
Banksia vincentia	3.4	Shrubland - Temperate
Perbrinckia rosae	1.6	Forest - Subtropical/Tropical Moist Lowland
Perbrinckia rosae	1.8	Forest - Subtropical/Tropical Swamp
Perbrinckia rosae	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Cyanoramphus malherbi	1.4	Forest - Temperate
Callicebus barbarabrownae	2.1	Savanna - Dry
Callicebus barbarabrownae	3.5	Shrubland - Subtropical/Tropical Dry
Paphiopedilum sanderianum	1.9	Forest - Subtropical/Tropical Moist Montane
Paphiopedilum sanderianum	6	Rocky areas (eg. inland cliffs, mountain peaks)
Cyrtandra subumbellata	1.6	Forest - Subtropical/Tropical Moist Lowland
Nepenthes aristolochioides	1.9	Forest - Subtropical/Tropical Moist Montane
Turnix novaecaledoniae	4.5	Grassland - Subtropical/Tropical Dry
Paphiopedilum vietnamense	1.9	Forest - Subtropical/Tropical Moist Montane
Atelopus famelicus	1.9	Forest - Subtropical/Tropical Moist Montane
Atelopus famelicus	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Pichonia grandiflora	3.5	Shrubland - Subtropical/Tropical Dry
Diogenesia gracilipes	1.9	Forest - Subtropical/Tropical Moist Montane
Sturisomatichthys frenatus	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Eleutherodactylus ventrilineatus	1.9	Forest - Subtropical/Tropical Moist Montane
Coursetia cajamarcana	1.5	Forest - Subtropical/Tropical Dry
Dryopteris cognata	1.9	Forest - Subtropical/Tropical Moist Montane
Eleutherodactylus cavernicola	1.6	Forest - Subtropical/Tropical Moist Lowland
Eleutherodactylus cavernicola	7.1	Caves and Subterranean Habitats (non-aquatic) - Caves
Caridina lanceolata	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Caridina lanceolata	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Cryptocarya calderi	1.6	Forest - Subtropical/Tropical Moist Lowland
Payera madagascariensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Hemidactylus bouvieri	3.5	Shrubland - Subtropical/Tropical Dry
